coin,date,level,mean_markout_bp,n_fills,n_opportunities
ARB,20230519,1,-0.5372241195071399,141,503943
ARB,20230519,2,0.18086185245574107,47,503943
ARB,20230519,3,-4.996636054678536,17,503943
ARB,20230519,4,-0.3301679283342548,10,503943
ARB,20230519,5,0.6953115293524069,12,503943
ARB,20230528,1,-0.4550864499631246,214,481640
ARB,20230528,2,-2.0877427406282507,100,481640
ARB,20230528,3,-2.3274869551311825,37,481640
ARB,20230528,4,1.2110825547304644,22,481640
ARB,20230528,5,-1.1292964170020525,14,481640
ARB,20230609,1,-1.3663532179665465,105,432086
ARB,20230609,2,-2.4619826830377547,64,432086
ARB,20230609,3,-1.766224443970816,19,432086
ARB,20230609,4,3.84626172185488,10,432086
ARB,20230609,5,-5.802138826854425,4,432086
ARB,20230615,1,-1.377038001765842,263,592776
ARB,20230615,2,0.8060509283194893,85,592776
ARB,20230615,3,1.5054984874539799,23,592776
ARB,20230615,4,8.59906691143908,12,592776
ARB,20230615,5,12.139482999796282,7,592776
ARB,20230618,1,-0.7685442161278573,253,502101
ARB,20230618,2,-2.992122151478256,87,502101
ARB,20230618,3,7.7161219147625655,34,502101
ARB,20230618,4,2.662673669432312,19,502101
ARB,20230618,5,10.238906704967611,11,502101
ARB,20230706,1,-0.840383464927823,378,558953
ARB,20230706,2,1.191809517174548,106,558953
ARB,20230706,3,0.31720032850962054,62,558953
ARB,20230706,4,3.0985341283154186,25,558953
ARB,20230706,5,8.382500466008839,11,558953
ARB,20230823,1,0.14702605784589104,119,452683
ARB,20230823,2,1.421299532264952,32,452683
ARB,20230823,3,4.4783537191020235,10,452683
ARB,20230823,4,-1.1339037507198733,8,452683
ARB,20230823,5,2.5218762758398214,3,452683
ARB,20230907,1,-2.6800150892792773,80,433630
ARB,20230907,2,-4.379832135874607,12,433630
ARB,20230907,3,1.091360915051435,4,433630
ARB,20230907,4,0.548095368594075,1,433630
ARB,20230907,5,,0,433630
ARB,20231022,1,-2.5911787088931573,153,526445
ARB,20231022,2,-2.3336328006526803,45,526445
ARB,20231022,3,-8.92667343738469,20,526445
ARB,20231022,4,5.055413755068077,12,526445
ARB,20231022,5,34.551803267516505,5,526445
ARB,20231106,1,-0.8076829266305277,569,635477
ARB,20231106,2,-0.7799691352890847,231,635477
ARB,20231106,3,-1.479922745625622,119,635477
ARB,20231106,4,2.850661610219855,83,635477
ARB,20231106,5,0.25092890793741396,64,635477
ARB,20231109,1,-3.9918268319634023,2789,668667
ARB,20231109,2,-6.012627671340989,1318,668667
ARB,20231109,3,-11.778805697609782,884,668667
ARB,20231109,4,-7.064366242094703,617,668667
ARB,20231109,5,-10.636738780314886,423,668667
ARB,20231224,1,-0.20349612431779546,1106,602108
ARB,20231224,2,0.6205492706614828,512,602108
ARB,20231224,3,0.0624691495031797,342,602108
ARB,20231224,4,1.6736505112264326,231,602108
ARB,20231224,5,3.291574064067105,193,602108
ARB,20240105,1,0.9247675867750339,2857,696234
ARB,20240105,2,1.9736883175002817,1143,696234
ARB,20240105,3,2.4370528561649145,836,696234
ARB,20240105,4,3.281124825016717,648,696234
ARB,20240105,5,3.7480330741003955,513,696234
ARB,20240111,1,-0.919522980870596,4440,753131
ARB,20240111,2,-0.763639461277926,1790,753131
ARB,20240111,3,0.08221809470376844,1059,753131
ARB,20240111,4,0.016947066847962544,838,753131
ARB,20240111,5,-0.28443143608440613,721,753131
ARB,20240117,1,-0.5925146637667115,991,612328
ARB,20240117,2,-0.6666497054711458,331,612328
ARB,20240117,3,0.11995841078535222,185,612328
ARB,20240117,4,0.22709768180751294,122,612328
ARB,20240117,5,0.24740423023322444,112,612328
ARB,20240201,1,-0.25416097912705804,825,601530
ARB,20240201,2,0.2667802284764917,240,601530
ARB,20240201,3,-0.7205112380512546,117,601530
ARB,20240201,4,0.007676350733089184,95,601530
ARB,20240201,5,-1.364950425852359,70,601530
ARB,20240510,1,0.05363543866948642,524,605622
ARB,20240510,2,-1.5877557626209613,120,605622
ARB,20240510,3,0.7218150897178321,79,605622
ARB,20240510,4,2.05917200422576,55,605622
ARB,20240510,5,0.8919657924802633,35,605622
ARB,20240612,1,0.19857472704840828,1072,621840
ARB,20240612,2,0.9498144471531329,374,621840
ARB,20240612,3,2.195304170180383,228,621840
ARB,20240612,4,6.067060617633525,148,621840
ARB,20240612,5,4.9816220446651585,100,621840
ARB,20240721,1,-0.5019188967135276,493,598601
ARB,20240721,2,-0.8556381383224013,98,598601
ARB,20240721,3,2.848003521535063,60,598601
ARB,20240721,4,2.601909420654367,34,598601
ARB,20240721,5,2.429482812067435,23,598601
ARB,20240808,1,-0.12337161822423459,992,743059
ARB,20240808,2,2.5629739526716793,83,743059
ARB,20240808,3,-3.209208423174428,28,743059
ARB,20240808,4,4.24373449689256,16,743059
ARB,20240808,5,10.923206837729785,12,743059
ARB,20241007,1,-0.6901055772517115,302,671926
ARB,20241007,2,0.2115737846268676,57,671926
ARB,20241007,3,0.46366198415226445,25,671926
ARB,20241007,4,3.1372027801255316,16,671926
ARB,20241007,5,4.986230007621179,10,671926
ARB,20241118,1,0.0692414974307433,1230,719179
ARB,20241118,2,1.8773565871612448,309,719179
ARB,20241118,3,4.653666240872869,145,719179
ARB,20241118,4,4.106729939082279,82,719179
ARB,20241118,5,1.5588936778084301,52,719179
ARB,20241224,1,-1.1659473998046896,729,761685
ARB,20241224,2,0.6485133847152026,138,761685
ARB,20241224,3,-0.37628874627252534,48,761685
ARB,20241224,4,1.3566101015786616,28,761685
ARB,20241224,5,3.714815903725128,14,761685
ARB,20250114,1,2.412926844151437,756,765299
ARB,20250114,2,6.727163082398916,120,765299
ARB,20250114,3,13.439858448074444,43,765299
ARB,20250114,4,18.59870974634579,22,765299
ARB,20250114,5,2.6356436950303244,8,765299
AVAX,20230404,1,-2.0526803465760817,61,420475
AVAX,20230404,2,-1.4394904382057037,2,420475
AVAX,20230404,3,,0,420475
AVAX,20230404,4,4.334633723450532,1,420475
AVAX,20230404,5,,0,420475
AVAX,20230419,1,-8.303471995501496,709,476505
AVAX,20230419,2,-8.233912595957362,179,476505
AVAX,20230419,3,-10.621035253248621,86,476505
AVAX,20230419,4,-6.652270672533451,49,476505
AVAX,20230419,5,-4.565081822341195,39,476505
AVAX,20230425,1,-1.9519555802829762,135,470279
AVAX,20230425,2,-3.3258475681467985,8,470279
AVAX,20230425,3,3.828297247476604,5,470279
AVAX,20230425,4,,0,470279
AVAX,20230425,5,7.121492664862149,1,470279
AVAX,20230504,1,-1.5932444649634936,57,398841
AVAX,20230504,2,0.0012956718653911459,2,398841
AVAX,20230504,3,,0,398841
AVAX,20230504,4,,0,398841
AVAX,20230504,5,,0,398841
AVAX,20230522,1,-1.142228132584996,66,286384
AVAX,20230522,2,-0.28891889142814514,5,286384
AVAX,20230522,3,,0,286384
AVAX,20230522,4,,0,286384
AVAX,20230522,5,,0,286384
AVAX,20230525,1,0.4135461918143317,77,288231
AVAX,20230525,2,5.9863820060627955,7,288231
AVAX,20230525,3,,0,288231
AVAX,20230525,4,,0,288231
AVAX,20230525,5,,0,288231
AVAX,20230721,1,-1.5837433973206734,34,290450
AVAX,20230721,2,1.7962996227767218,1,290450
AVAX,20230721,3,,0,290450
AVAX,20230721,4,,0,290450
AVAX,20230721,5,,0,290450
AVAX,20230811,1,0.30209548590818586,7,290300
AVAX,20230811,2,2.0140986908354503,1,290300
AVAX,20230811,3,,0,290300
AVAX,20230811,4,,0,290300
AVAX,20230811,5,,0,290300
AVAX,20230814,1,0.7822439333991313,13,184981
AVAX,20230814,2,2.024685316575567,2,184981
AVAX,20230814,3,,0,184981
AVAX,20230814,4,,0,184981
AVAX,20230814,5,,0,184981
AVAX,20230820,1,-1.5280571746984133,12,186272
AVAX,20230820,2,,0,186272
AVAX,20230820,3,,0,186272
AVAX,20230820,4,,0,186272
AVAX,20230820,5,,0,186272
AVAX,20231010,1,-2.0411319326560706,66,410540
AVAX,20231010,2,0.0227974835469118,4,410540
AVAX,20231010,3,,0,410540
AVAX,20231010,4,,0,410540
AVAX,20231010,5,,0,410540
AVAX,20240129,1,-0.10161607899859841,1081,624186
AVAX,20240129,2,0.20746216655565547,254,624186
AVAX,20240129,3,0.4451680167829243,87,624186
AVAX,20240129,4,1.0573758096812509,40,624186
AVAX,20240129,5,2.947061699682793,48,624186
AVAX,20240204,1,-0.2152086154771999,359,515787
AVAX,20240204,2,1.2027630028099572,106,515787
AVAX,20240204,3,5.36306543348635,38,515787
AVAX,20240204,4,6.708801169154079,15,515787
AVAX,20240204,5,3.9693168669860115,17,515787
AVAX,20240210,1,0.37147553873977196,660,623582
