coin,date,n_fills,mean_fill_size,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,spread_capture_szw_bp_10s,adverse_select_szw_bp_10s,net_markout_szw_bp_10s,spread_capture_szw_bp_60s,adverse_select_szw_bp_60s,net_markout_szw_bp_60s,rv_10s_bp
ARB,20230401,3314,0.939469,1.95466,-1.650845,0.303815,1.95466,-2.113948,-0.159288,1.958156,-1.664317,0.293839,1.958156,-2.098623,-0.140467,5.765094
ARB,20230404,3384,0.956649,2.094719,-2.099927,-0.005207,2.094719,-1.748592,0.346127,2.094866,-2.116311,-0.021446,2.094866,-1.773845,0.32102,5.783577
ARB,20230407,856,0.966472,2.092745,-2.308058,-0.215314,2.092745,-2.025436,0.067309,2.09346,-2.357421,-0.263961,2.09346,-2.062546,0.030914,3.814196
ARB,20230410,4797,0.961664,0.607127,-2.341819,-1.734692,0.607127,-2.534662,-1.927535,0.608329,-2.353099,-1.74477,0.608329,-2.513717,-1.905388,4.029674
ARB,20230413,11475,0.961386,0.431595,-1.180212,-0.748617,0.431595,-0.738901,-0.307306,0.430699,-1.179874,-0.749175,0.430699,-0.771102,-0.340403,5.800634
ARB,20230416,14276,0.894662,0.360809,-1.6876,-1.326791,0.360809,-2.031625,-1.670816,0.359416,-1.618134,-1.258718,0.359416,-1.952881,-1.593465,6.19351
ARB,20230419,16398,0.934388,0.48439,-1.16528,-0.68089,0.48439,-1.037994,-0.553604,0.481016,-1.272358,-0.791343,0.481016,-1.302592,-0.821576,10.202902
ARB,20230422,9047,0.925589,0.367083,-1.308705,-0.941622,0.367083,-0.824531,-0.457448,0.366449,-1.336733,-0.970284,0.366449,-0.82044,-0.453991,5.227558
ARB,20230425,7637,0.924709,0.404452,-1.605738,-1.201286,0.404452,-0.927638,-0.523185,0.404876,-1.614306,-1.209429,0.404876,-0.91628,-0.511403,5.346142
ARB,20230428,4900,0.895469,0.38817,-1.242687,-0.854517,0.38817,-1.242855,-0.854685,0.38987,-1.271342,-0.881472,0.38987,-1.291584,-0.901714,4.374404
ARB,20230501,4222,0.81774,0.40272,-1.384191,-0.98147,0.40272,-1.644657,-1.241936,0.406674,-1.44964,-1.042966,0.406674,-1.608266,-1.201592,4.33512
ARB,20230504,2471,0.799312,0.379537,-1.370416,-0.990879,0.379537,-1.450872,-1.071335,0.37903,-1.601888,-1.222858,0.37903,-1.634086,-1.255056,2.761737
ARB,20230507,1894,0.865839,0.410038,-1.792098,-1.38206,0.410038,-1.263847,-0.853809,0.409666,-1.979178,-1.569512,0.409666,-1.557792,-1.148126,3.29775
ARB,20230510,7363,0.860627,0.511862,-2.181047,-1.669185,0.511862,-2.432918,-1.921056,0.517713,-2.326945,-1.809232,0.517713,-2.455163,-1.93745,7.81382
ARB,20230513,2301,0.882138,0.438535,-1.660542,-1.222007,0.438535,-1.391199,-0.952665,0.439806,-1.731752,-1.291946,0.439806,-1.653547,-1.213741,3.957635
ARB,20230516,2283,0.850153,0.440174,-1.676073,-1.235899,0.440174,-1.752091,-1.311917,0.44152,-1.924014,-1.482495,0.44152,-1.950984,-1.509464,3.724253
ARB,20230519,1299,0.910162,0.44512,-2.176915,-1.731795,0.44512,-2.615662,-2.170541,0.445354,-2.369675,-1.924322,0.445354,-2.632139,-2.186785,3.17461
