venue,symbol,date,n_fills,mean_fill_size,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,spread_capture_szw_bp_10s,adverse_select_szw_bp_10s,net_markout_szw_bp_10s,spread_capture_szw_bp_60s,adverse_select_szw_bp_60s,net_markout_szw_bp_60s,rv_10s_bp,maker_fee_bp,ts_semantics
binance_um,BLUEBIRDUSDT,20230516,211,0.980569,0.894209,-1.775726,-0.881516,0.894209,-1.377047,-0.482838,0.898646,-1.791349,-0.892703,0.898646,-1.391395,-0.49275,2.096631,2.0,
binance_um,BLUEBIRDUSDT,20230517,580,0.956034,0.929459,-1.220756,-0.291297,0.929459,-1.314607,-0.385148,0.906321,-1.21993,-0.31361,0.906321,-1.308617,-0.402297,2.258787,2.0,
binance_um,BLUEBIRDUSDT,20230518,844,0.956754,1.114483,-1.367448,-0.252965,1.114483,-2.001545,-0.887062,1.127008,-1.379016,-0.252008,1.127008,-2.059645,-0.932637,2.292139,2.0,
binance_um,BLUEBIRDUSDT,20230519,451,0.963193,0.881614,-1.308765,-0.427151,0.881614,-0.901308,-0.019693,0.885697,-1.325831,-0.440134,0.885697,-0.954723,-0.069026,1.779538,2.0,
binance_um,BLUEBIRDUSDT,20230520,319,0.947022,0.822828,-0.865172,-0.042344,0.822828,-0.894373,-0.071544,0.824263,-0.908655,-0.084392,0.824263,-0.912846,-0.088583,1.11423,2.0,
binance_um,BLUEBIRDUSDT,20230521,346,0.948555,0.880803,-1.108306,-0.227503,0.880803,-1.465363,-0.58456,0.880709,-1.111973,-0.231265,0.880709,-1.483752,-0.603043,1.303238,2.0,
binance_um,BLUEBIRDUSDT,20230522,368,0.941304,0.845954,-1.351555,-0.505602,0.845954,-1.344967,-0.499013,0.849822,-1.365429,-0.515607,0.849822,-1.384738,-0.534916,1.733813,2.0,
binance_um,BLUEBIRDUSDT,20230523,369,0.93794,0.87434,-1.276823,-0.402483,0.87434,-1.729486,-0.855146,0.870782,-1.28326,-0.412478,0.870782,-1.718833,-0.848052,1.515392,2.0,
binance_um,BLUEBIRDUSDT,20230524,418,0.945933,1.079403,-1.663285,-0.583882,1.079403,-2.271108,-1.191705,1.08461,-1.703595,-0.618985,1.08461,-2.385304,-1.300695,2.07694,2.0,
binance_um,BLUEBIRDUSDT,20230525,417,0.952758,0.85577,-1.239628,-0.383859,0.85577,-0.981239,-0.12547,0.857035,-1.214139,-0.357104,0.857035,-1.016377,-0.159342,1.749255,2.0,
binance_um,BLUEBIRDUSDT,20230526,395,0.964304,0.807434,-1.1205,-0.313066,0.807434,-0.864371,-0.056937,0.808014,-1.105049,-0.297035,0.808014,-0.83931,-0.031296,1.586586,2.0,
binance_um,BLUEBIRDUSDT,20230527,228,0.932018,0.87656,-0.739184,0.137376,0.87656,-1.21397,-0.337409,0.890621,-0.747729,0.142892,0.890621,-1.239989,-0.349368,0.912209,2.0,
binance_um,BLUEBIRDUSDT,20230528,428,0.956075,0.895707,-0.831074,0.064633,0.895707,-0.634728,0.260978,0.892995,-0.842379,0.050616,0.892995,-0.637975,0.25502,1.489446,2.0,
binance_um,BLUEBIRDUSDT,20230529,617,0.937601,0.981379,-1.099157,-0.117778,0.981379,-1.226011,-0.244633,0.990898,-1.149835,-0.158937,0.990898,-1.325982,-0.335084,1.636646,2.0,
binance_um,BLUEBIRDUSDT,20230530,384,0.933333,0.871939,-1.072483,-0.200544,0.871939,-1.626841,-0.754902,0.87228,-1.006015,-0.133735,0.87228,-1.515932,-0.643651,1.496801,2.0,
binance_um,BLUEBIRDUSDT,20230531,336,0.933929,0.969148,-1.428083,-0.458934,0.969148,-1.647547,-0.678399,0.974641,-1.497013,-0.522373,0.974641,-1.823328,-0.848688,1.73913,2.0,
binance_um,BLUEBIRDUSDT,20230601,275,0.932727,0.911661,-1.08218,-0.170519,0.911661,-1.310887,-0.399226,0.914676,-1.126711,-0.212035,0.914676,-1.477886,-0.56321,1.42479,2.0,
binance_um,BLUEBIRDUSDT,20230602,308,0.936039,0.876948,-1.096461,-0.219512,0.876948,-1.451896,-0.574947,0.875811,-1.147799,-0.271988,0.875811,-1.505631,-0.629819,1.327137,2.0,
binance_um,BLUEBIRDUSDT,20230603,237,0.922785,0.851993,-0.703056,0.148936,0.851993,-0.611629,0.240364,0.841684,-0.721489,0.120195,0.841684,-0.637413,0.204271,0.871673,2.0,
binance_um,BLUEBIRDUSDT,20230604,246,0.940244,0.820406,-0.522613,0.297793,0.820406,-0.903857,-0.083451,0.831736,-0.512274,0.319463,0.831736,-0.855534,-0.023798,0.899563,2.0,
binance_um,BLUEBIRDUSDT,20230605,1043,0.954458,2.97477,-3.512448,-0.537677,2.97477,-6.544879,-3.570108,3.000752,-3.632839,-0.632086,3.000752,-6.634178,-3.633426,4.522925,2.0,
binance_um,BLUEBIRDUSDT,20230606,708,0.945621,1.218868,-1.712627,-0.493758,1.218868,-1.734728,-0.51586,1.218776,-1.716686,-0.49791,1.218776,-1.783104,-0.564328,3.089114,2.0,
binance_um,BLUEBIRDUSDT,20230607,879,0.934926,1.163298,-1.245039,-0.081742,1.163298,-1.416,-0.252703,1.16444,-1.398391,-0.233951,1.16444,-1.641228,-0.476788,3.747476,2.0,
binance_um,BLUEBIRDUSDT,20230608,415,0.912771,1.293868,-1.152532,0.141335,1.293868,-0.935733,0.358134,1.316128,-1.21814,0.097988,1.316128,-1.136576,0.179552,2.710923,2.0,
binance_um,BLUEBIRDUSDT,20230609,374,0.935294,1.299059,-1.275121,0.023939,1.299059,-0.484883,0.814176,1.308444,-1.411206,-0.102762,1.308444,-0.615353,0.693091,2.559876,2.0,
binance_um,BLUEBIRDUSDT,20230610,1893,0.971421,3.302279,-1.992015,1.310264,3.302279,-3.528631,-0.226351,3.340425,-2.358819,0.981606,3.340425,-3.845535,-0.505109,10.278799,2.0,
binance_um,BLUEBIRDUSDT,20230611,740,0.943378,1.142718,-1.316558,-0.173839,1.142718,-0.358136,0.784583,1.140134,-1.347016,-0.206882,1.140134,-0.365851,0.774283,2.663199,2.0,
binance_um,BLUEBIRDUSDT,20230612,1251,0.970663,1.410206,-1.671927,-0.261721,1.410206,-2.398479,-0.988273,1.413875,-1.679923,-0.266048,1.413875,-2.430836,-1.016961,4.931251,2.0,
binance_um,BLUEBIRDUSDT,20230613,1189,0.978722,1.373251,-1.935809,-0.562557,1.373251,-2.88719,-1.513939,1.380183,-1.966211,-0.586028,1.380183,-2.952942,-1.572759,4.710485,2.0,
binance_um,BLUEBIRDUSDT,20230614,1623,0.980099,1.267156,-1.833758,-0.566603,1.267156,-1.55267,-0.285514,1.266832,-1.892669,-0.625837,1.266832,-1.621838,-0.355006,4.935095,2.0,
binance_um,BLUEBIRDUSDT,20230615,858,0.974009,1.003678,-1.462253,-0.458575,1.003678,-1.22629,-0.222612,1.000264,-1.501134,-0.50087,1.000264,-1.223594,-0.223329,3.233999,2.0,
binance_um,BLUEBIRDUSDT,20230616,811,0.965598,1.059997,-1.459783,-0.399786,1.059997,-1.672812,-0.612815,1.061399,-1.456016,-0.394616,1.061399,-1.675819,-0.61442,2.848158,2.0,
