coin,date,n_fills,mean_fill_size,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,spread_capture_szw_bp_10s,adverse_select_szw_bp_10s,net_markout_szw_bp_10s,spread_capture_szw_bp_60s,adverse_select_szw_bp_60s,net_markout_szw_bp_60s,rv_10s_bp
AAVE,20250727,483,0.674638,0.78135,-1.513369,-0.732019,0.78135,-2.186224,-1.404873,0.823685,-1.502711,-0.679026,0.823685,-1.996837,-1.173152,2.825759
AAVE,20250801,696,0.709411,1.19816,-2.428348,-1.230188,1.19816,-2.418326,-1.220166,1.160443,-2.511075,-1.350632,1.160443,-2.154087,-0.993643,5.573412
AAVE,20250806,147,0.718571,1.022075,-2.105608,-1.083533,1.022075,-3.019812,-1.997737,1.068223,-2.149199,-1.080977,1.068223,-2.746549,-1.678327,3.218869
AAVE,20250811,545,0.788807,0.985407,-0.581296,0.40411,0.985407,-1.855785,-0.870378,1.050905,-0.642673,0.408232,1.050905,-1.680184,-0.629278,4.181505
AAVE,20250816,250,0.5398,0.753268,-1.325226,-0.571957,0.753268,-1.71807,-0.964802,0.844043,-0.782446,0.061597,0.844043,-1.124283,-0.28024,2.582322
AAVE,20250821,736,0.567201,0.889201,-1.894683,-1.005482,0.889201,-1.97186,-1.082659,0.950671,-1.458175,-0.507504,0.950671,-1.280243,-0.329572,4.008588
AAVE,20250826,896,0.559676,1.06392,-1.499574,-0.435654,1.06392,-1.387228,-0.323308,1.170569,-1.497692,-0.327123,1.170569,-1.955861,-0.785292,5.4265
AAVE,20250831,188,0.563723,0.888637,-0.91702,-0.028383,0.888637,-0.912926,-0.024289,1.04161,-1.460105,-0.418495,1.04161,-1.393639,-0.352029,2.588478
AAVE,20250905,369,0.697182,1.119756,-1.515761,-0.396005,1.119756,-3.18668,-2.066924,1.153361,-1.594458,-0.441097,1.153361,-3.804315,-2.650954,3.534875
AAVE,20250910,229,0.669825,1.027174,-1.295817,-0.268643,1.027174,-2.215442,-1.188268,1.144703,-1.179924,-0.035221,1.144703,-1.811818,-0.667115,3.02387
