venue,coin,date,rule,n_fills,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,n_trades,sign_accuracy,sign_accuracy_szw
bybit_perp,ARB,20230401,true,3314,1.95466,-1.650845,0.303815,1.95466,-2.113948,-0.159288,594336,1.0,1.0
bybit_perp,ARB,20230401,lee_ready,3562,1.967105,-1.899576,0.067529,1.967105,-2.214946,-0.247841,594336,0.980689,0.983093
bybit_perp,ARB,20230401,tick,2630,1.968302,-1.711753,0.256549,1.968302,-2.262226,-0.293924,594336,0.965419,0.947524
bybit_perp,ARB,20230404,true,3384,2.094719,-2.099927,-0.005207,2.094719,-1.748592,0.346127,722679,1.0,1.0
bybit_perp,ARB,20230404,lee_ready,3576,2.093174,-2.148497,-0.055322,2.093174,-1.822428,0.270746,722679,0.990604,0.989782
bybit_perp,ARB,20230404,tick,2694,2.099644,-2.130563,-0.030919,2.099644,-1.605454,0.49419,722679,0.962658,0.939151
bybit_perp,ARB,20230407,true,856,2.092745,-2.308058,-0.215314,2.092745,-2.025436,0.067309,338393,1.0,1.0
bybit_perp,ARB,20230407,lee_ready,885,2.091351,-2.255134,-0.163783,2.091351,-2.135795,-0.044444,338393,0.996371,0.992734
bybit_perp,ARB,20230407,tick,709,2.097763,-2.114087,-0.016325,2.097763,-1.41257,0.685193,338393,0.969503,0.934977
bybit_perp,ARB,20230410,true,4797,0.607127,-2.341819,-1.734692,0.607127,-2.534662,-1.927535,372508,1.0,1.0
bybit_perp,ARB,20230410,lee_ready,4894,0.61046,-2.352402,-1.741943,0.61046,-2.502026,-1.891566,372508,0.993281,0.990046
bybit_perp,ARB,20230410,tick,3834,0.617347,-2.222421,-1.605074,0.617347,-2.203192,-1.585845,372508,0.948307,0.941142
bybit_perp,ARB,20230413,true,11475,0.431595,-1.180212,-0.748617,0.431595,-0.738901,-0.307306,726786,1.0,1.0
bybit_perp,ARB,20230413,lee_ready,12298,0.435492,-1.20776,-0.772268,0.435492,-0.861282,-0.42579,726786,0.975199,0.9771
bybit_perp,ARB,20230413,tick,9981,0.438083,-1.295512,-0.857429,0.438083,-0.915466,-0.477383,726786,0.916654,0.922615
