venue,coin,date,gap_ms,n_fills,capture_bp,adverse_bp,net_bp
bybit_perp,ARB,20250727,100,1087,1.1233396263183972,-2.1241673059695496,-1.0008276796511524
bybit_perp,ARB,20250727,250,952,1.1369830246127366,-2.1247101552046526,-0.9877271305919159
bybit_perp,ARB,20250727,500,906,1.1329150464646225,-2.0136676362998447,-0.8807525898352219
bybit_perp,ARB,20250727,1000,847,1.1324495644415866,-1.858922628961239,-0.7264730645196527
bybit_perp,ARB,20250727,2000,766,1.1170205548730414,-1.828366122839145,-0.7113455679661036
bybit_perp,ARB,20250727,5000,598,1.117489790824707,-1.6736125537009146,-0.5561227628762077
bybit_perp,ARB,20250727,10000,502,1.1192874722799673,-1.2499338873857728,-0.1306464151058057
bybit_perp,ARB,20250728,100,2161,1.1165835051543085,-2.0988949306389655,-0.982311425484657
bybit_perp,ARB,20250728,250,1833,1.13823366091197,-2.2160175316406887,-1.0777838707287188
bybit_perp,ARB,20250728,500,1715,1.131066688906302,-2.2654089933470045,-1.1343423044407028
bybit_perp,ARB,20250728,1000,1549,1.1391246086989844,-1.8678821251076811,-0.7287575164086969
bybit_perp,ARB,20250728,2000,1276,1.1289731470719346,-2.1025008882267544,-0.9735277411548197
bybit_perp,ARB,20250728,5000,1035,1.1287373406920596,-1.7266542915169119,-0.5979169508248523
bybit_perp,ARB,20250728,10000,823,1.1300781318690405,-1.3648963889753967,-0.23481825710635623
bybit_perp,ARB,20250729,100,1697,1.1948802671535033,-2.156997545770002,-0.962117278616499
bybit_perp,ARB,20250729,250,1405,1.204113164828693,-2.2623161930327593,-1.0582030282040664
bybit_perp,ARB,20250729,500,1268,1.206240871503073,-2.181602031301544,-0.9753611597984712
bybit_perp,ARB,20250729,1000,1155,1.2140704613124647,-1.8850760315233088,-0.671005570210844
bybit_perp,ARB,20250729,2000,997,1.2021896711032607,-1.9986695633774538,-0.796479892274193
bybit_perp,ARB,20250729,5000,809,1.2081732109830643,-1.8822934947425727,-0.6741202837595086
bybit_perp,ARB,20250729,10000,680,1.1989313706192224,-1.4872376715511244,-0.28830630093190185
bybit_perp,ARB,20250730,100,2364,1.2334569796888257,-1.5788891244456353,-0.3454321447568092
bybit_perp,ARB,20250730,250,2005,1.258008626090387,-1.4164209312519356,-0.15841230516154847
bybit_perp,ARB,20250730,500,1849,1.2572935896193387,-1.6779260795375193,-0.4206324899181805
bybit_perp,ARB,20250730,1000,1670,1.2572909460287742,-1.5692730147987113,-0.311982068769937
bybit_perp,ARB,20250730,2000,1377,1.2525838397666444,-1.6617649429412102,-0.40918110317456563
bybit_perp,ARB,20250730,5000,1078,1.2635035418718126,-1.6092635241566013,-0.3457599822847886
bybit_perp,ARB,20250730,10000,879,1.2637039994771657,-1.5540363436657374,-0.2903323441885717
bybit_perp,ARB,20250731,100,2015,1.231282294835494,-1.7986488411941923,-0.5673665463586984
bybit_perp,ARB,20250731,250,1684,1.2478652285944973,-1.779305012175449,-0.5314397835809516
bybit_perp,ARB,20250731,500,1579,1.2581903570637052,-1.8764785042340943,-0.6182881471703892
bybit_perp,ARB,20250731,1000,1454,1.254987415505879,-2.050533780479921,-0.795546364974042
bybit_perp,ARB,20250731,2000,1267,1.245939252221018,-1.7960771424260873,-0.5501378902050691
bybit_perp,ARB,20250731,5000,1056,1.2558893939073907,-1.5559990412167488,-0.300109647309358
